x,y
-25.0,10.0
-25.175285588590878,10.08573898375033
-25.35204083192953,10.168405753703462
-25.530211888656567,10.247975128760459
-25.70974448614213,10.32442287131887
-25.89058393701785,10.397725694655746
-26.072675155835167,10.467861270021
-26.255962675844863,10.534808233438959
-26.4403906658928,10.59854619221603
-26.625902947426617,10.659055731152533
-26.812443011608263,10.716318418456732
-26.99995403652713,10.770316811359363
-27.188378904508564,10.821034461426853
-27.377660219512475,10.868455919571678
-27.567740324616693,10.912566740758303
-27.758561319579865,10.953353488403287
-27.950065078478396,10.990803738468184
-28.14219326741219,11.024906083244039
-28.334887362273705,11.055650134826273
-28.52808866657498,11.083026528278952
-28.721738329327145,11.107026924487428
-28.915777362966992,11.12764401269852
-29.11014666132518,11.144871512747434
-29.304787017630535,11.158704176970772
-29.499639142544996,11.169137791805012
-29.69464368222374,11.176169179069998
-29.889741236394936,11.179796196937057
-30.084872376453628,11.180017740581413
-30.27997766356427,11.176833742518724
-30.47499766676639,11.170245172625643
-30.669872981077805,11.160254037844387
-30.86454424558998,11.146863381571395
-31.058952161549918,11.130077282730285
-31.25303751042315,11.109900854529377
-31.44674117193226,11.086340242904152
-31.6400041420655,11.05940262464515
-31.832767551049994,11.029096205211841
-32.02497268128402,10.99543021623317
-32.21656098522297,10.958414912695511
-32.40747410321352,10.918061569818898
-32.5976538812705,10.874382479622478
-32.787042388791214,10.827390947180257
-32.975581936201614,10.777101286568234
-33.16321509252913,10.723528816504198
-33.349884702896716,10.666689855681499
-33.53553390593274,10.606601717798215
-33.72010615109152,10.543282706283229
-33.90354521587921,10.476752108720838
-34.08579522297965,10.407030190975554
-34.26680065727518,10.334138191018933
-34.44650638275708,10.258098312460286
-34.624857659320526,10.178933717783229
-34.801800159438926,10.096668521290194
-34.97727998471269,10.011327781756947
-35.15124368228711,9.92293749479947
-35.32363826113468,9.831524584955421
-35.49441120819668,9.737116897482677
-35.663510504379104,9.639743189877391
-35.83088464039824,9.53943312311418
-35.99648263247085,9.436217252611105
-36.16025403784438,9.330127018922196
-36.322148970162274,9.221194738160351
-36.48211811465982,9.109453592153542
-36.640112743185945,8.994937618337309
-36.79608472904628,8.877681699386612
-36.949986561663,8.757721552590246
-37.10177136104701,8.635093718971007
-37.25139289207803,8.50983555215494
-37.39880557858831,8.38198520699306
-37.54396451724551,8.251581627939016
-37.686825491230735,8.11866453718623
-37.827344983707384,7.983274422568151
-37.9654801910768,7.845452525225244
-38.10118903601667,7.705240827042547
-38.23443018029819,7.562682037861587
-38.36516303737808,7.417819582470549
-38.493347784761625,7.27069758737666
-38.61894537613303,7.121360867364828
-38.74191755324926,6.9698549118466255
-38.86222685759392,6.81622587100377
-38.97983664178743,6.660520541730343
-39.09471108075022,6.502786353377999
-39.20681518261537,6.343071353308509
-39.316114799387485,6.181424192258087
-39.42257663734446,6.017894109517901
-39.526168267179166,5.85253091793531
-39.62685813387762,5.685384988740377
-39.72461556633102,5.516507236202313
-39.81941078667845,5.345949102120491
-39.9112149193775,5.173762540154791
-40.0,5.000000000000002
-40.08573898375033,4.824714411409125
-40.16840575370346,4.647959168070471
-40.24797512876046,4.46978811134343
-40.324422871318866,4.290255513857869
-40.39772569465575,4.109416062982149
-40.467861270021004,3.9273248441648323
-40.53480823343896,3.7440373241551375
-40.598546192216034,3.5596093341071966
-40.659055731152534,3.374097052573382
-40.71631841845673,3.1875569883917407
-40.770316811359365,3.000045963472873
-40.821034461426855,2.8116210954914336
-40.86845591957168,2.6223397804875272
-40.9125667407583,2.432259675383308
-40.95335348840329,2.241438680420134
-40.99080373846819,2.049934921521605
-41.02490608324404,1.8578067325878098
-41.05565013482627,1.6651126377262955
-41.08302652827895,1.4719113334250216
-41.10702692448743,1.278261670672856
-41.12764401269852,1.0842226370330048
-41.144871512747436,0.8898533386748174
-41.15870417697077,0.6952129823694672
-41.169137791805014,0.5003608574550027
-41.17616917907,0.30535631777625794
-41.179796196937055,0.11025876360506051
-41.18001774058141,-0.08487237645362666
-41.176833742518724,-0.27997766356427384
-41.17024517262564,-0.47499766676638994
-41.16025403784439,-0.6698729810778031
-41.14686338157139,-0.8645442455899799
-41.130077282730284,-1.0589521615499167
-41.10990085452938,-1.2530375104231504
-41.08634024290415,-1.4467411719322572
-41.059402624645145,-1.6400041420655023
-41.02909620521184,-1.8327675510499921
-40.99543021623317,-2.0249726812840194
-40.95841491269551,-2.216560985222972
-40.918061569818896,-2.4074741032135165
-40.874382479622476,-2.597653881270502
-40.827390947180255,-2.78704238879121
-40.77710128656823,-2.9755819362016105
-40.7235288165042,-3.1632150925291302
-40.6666898556815,-3.349884702896717
-40.60660171779821,-3.535533905932736
-40.54328270628323,-3.7201061510915254
-40.47675210872084,-3.903545215879211
-40.407030190975554,-4.085795222979648
-40.33413819101894,-4.266800657275183
-40.258098312460284,-4.4465063827570805
-40.17893371778323,-4.624857659320521
-40.0966685212902,-4.801800159438926
-40.01132778175695,-4.977279984712688
-39.92293749479947,-5.151243682287107
-39.83152458495542,-5.323638261134688
-39.73711689748268,-5.494411208196682
-39.63974318987739,-5.663510504379102
-39.53943312311418,-5.830884640398234
-39.43621725261111,-5.9964826324708485
-39.3301270189222,-6.160254037844386
-39.22119473816035,-6.32214897016227
-39.10945359215354,-6.482118114659816
-38.99493761833731,-6.640112743185944
-38.87768169938661,-6.796084729046283
-38.75772155259025,-6.949986561663001
-38.63509371897101,-7.101771361047006
-38.50983555215494,-7.251392892078034
-38.38198520699306,-7.398805578588312
-38.25158162793901,-7.5439645172455165
-38.118664537186234,-7.6868254912307385
-37.98327442256815,-7.827344983707385
-37.84545252522524,-7.965480191076797
-37.705240827042545,-8.101189036016672
-37.56268203786159,-8.234430180298192
-37.41781958247055,-8.365163037378077
-37.27069758737666,-8.493347784761626
-37.12136086736483,-8.618945376133025
-36.969854911846625,-8.741917553249255
-36.816225871003766,-8.862226857593917
-36.66052054173034,-8.97983664178743
-36.502786353378,-9.094711080750221
-36.3430713533085,-9.20681518261538
-36.18142419225809,-9.31611479938748
-36.0178941095179,-9.422576637344466
-35.85253091793531,-9.526168267179164
-35.68538498874038,-9.626858133877613
-35.5165072362023,-9.724615566331021
-35.34594910212049,-9.81941078667845
-35.17376254015479,-9.911214919377496
-35.0,-9.999999999999998
-34.824714411409126,-10.085738983750328
-34.647959168070464,-10.168405753703464
-34.46978811134344,-10.247975128760455
-34.29025551385787,-10.324422871318868
-34.10941606298215,-10.397725694655746
-33.927324844164836,-10.467861270020999
-33.74403732415514,-10.534808233438959
-33.5596093341072,-10.598546192216032
-33.37409705257338,-10.659055731152533
-33.187556988391734,-10.716318418456733
-33.00004596347288,-10.770316811359363
-32.81162109549143,-10.821034461426853
-32.62233978048753,-10.868455919571678
-32.43225967538331,-10.912566740758303
-32.24143868042013,-10.953353488403287
-32.04993492152161,-10.990803738468184
-31.85780673258781,-11.024906083244039
-31.665112637726295,-11.055650134826273
-31.471911333425023,-11.083026528278952
-31.27826167067285,-11.107026924487428
-31.084222637033005,-11.12764401269852
-30.88985333867482,-11.144871512747434
-30.69521298236947,-11.158704176970772
-30.500360857455007,-11.16913779180501
-30.305356317776255,-11.176169179069998
-30.11025876360506,-11.179796196937057
-29.915127623546375,-11.180017740581413
-29.720022336435722,-11.176833742518724
-29.525002333233616,-11.170245172625645
-29.33012701892219,-11.160254037844387
-29.13545575441002,-11.146863381571395
-28.941047838450086,-11.130077282730285
-28.746962489576845,-11.109900854529375
-28.553258828067747,-11.086340242904154
-28.3599958579345,-11.059402624645148
-28.16723244895001,-11.029096205211841
-27.975027318715988,-10.99543021623317
-27.783439014777024,-10.958414912695511
-27.59252589678648,-10.918061569818898
-27.402346118729497,-10.874382479622478
-27.21295761120879,-10.827390947180257
-27.024418063798393,-10.777101286568236
-26.836784907470864,-10.723528816504198
-26.650115297103284,-10.666689855681499
-26.464466094067266,-10.606601717798215
-26.279893848908472,-10.543282706283227
-26.096454784120795,-10.47675210872084
-25.91420477702035,-10.407030190975554
-25.733199342724816,-10.334138191018935
-25.55349361724292,-10.258098312460286
-25.375142340679485,-10.17893371778323
-25.19819984056107,-10.096668521290193
-25.022720015287312,-10.011327781756947
-24.848756317712894,-9.92293749479947
-24.676361738865317,-9.831524584955423
-24.505588791803316,-9.737116897482677
-24.336489495620896,-9.639743189877391
-24.169115359601765,-9.539433123114181
-24.003517367529152,-9.436217252611106
-23.839745962155618,-9.330127018922196
-23.677851029837726,-9.22119473816035
-23.517881885340184,-9.109453592153544
-23.35988725681406,-8.99493761833731
-23.203915270953722,-8.877681699386613
-23.050013438336997,-8.757721552590242
-22.898228638952993,-8.635093718971007
-22.748607107921966,-8.509835552154941
-22.60119442141169,-8.381985206993061
-22.456035482754487,-8.251581627939016
-22.313174508769258,-8.118664537186229
-22.172655016292616,-7.983274422568151
-22.034519808923203,-7.845452525225245
-21.89881096398333,-7.705240827042548
-21.765569819701803,-7.562682037861585
-21.634836962621918,-7.41781958247055
-21.506652215238375,-7.270697587376662
-21.381054623866973,-7.12136086736483
-21.258082446750745,-6.969854911846627
-21.137773142406083,-6.816225871003767
-21.02016335821257,-6.660520541730345
-20.905288919249777,-6.502786353378
-20.793184817384628,-6.343071353308511
-20.683885200612515,-6.181424192258083
-20.577423362655534,-6.0178941095179015
-20.473831732820834,-5.852530917935311
-20.37314186612239,-5.685384988740378
-20.275384433668982,-5.5165072362023135
-20.180589213321547,-5.345949102120487
-20.088785080622504,-5.173762540154793
-20.0,-5.0000000000000036
-19.91426101624967,-4.8247144114091265
-19.831594246296536,-4.647959168070467
-19.75202487123954,-4.469788111343431
-19.675577128681134,-4.29025551385787
-19.602274305344253,-4.109416062982151
