x_p1,y_p1,x_p2,y_p2,x_p3,y_p3,x_p4,y_p4,x_p5,y_p5,x_p6,y_p6,x_p7,y_p7,x_p8,y_p8
-24.999999642183745,-1.062632987116997e-05,-34.999999999999986,-1.8368468620680348e-16,-59.99999560629665,39.99999531581317,-67.99999999999999,-7.799999999999993,-62.000002493987196,-38.00000680017583,-72.0000064336591,-87.9999999978546,-83.9999993378847,-32.000005251778255,-94.99999679765403,2.0000020574001143
-25.001523737574107,0.17454531795717007,-34.999999999999986,1.7974196152467329e-16,-60.168418846407675,40.0278903518105,-67.99999999999997,-7.799999999999988,-61.85222972768474,-37.97025291789599,-71.68896527139833,-88.0026408244895,-83.87170323851215,-32.042097432036286,-95.03435633981692,1.9048361061967138
-25.00609180929235,0.3489949642487128,-34.999999999999986,8.6388286271366e-17,-60.338746794513085,40.05546152968047,-67.99999999999997,-7.79999999999999,-61.70669384028448,-37.940243831985285,-71.37715447673688,-88.00502379458018,-83.74573534247443,-32.08527585687284,-95.06873183143138,1.8085252068529125
-25.01370473187702,0.5233595582664556,-34.999999999999986,-2.2297598854730116e-16,-60.51098828041149,40.0827182005733,-67.99999999999997,-7.799999999999991,-61.56338989247819,-37.909965975747,-71.06456118293671,-88.00714898632106,-83.62209704210481,-32.12953007660169,-95.1031296717068,1.7110652180095507
-25.024359576739755,0.6975647318928022,-35.000000000000014,-1.955489319308644e-15,-60.685112436702944,40.10962761973555,-67.99999999999997,-7.799999999999991,-61.42233521047936,-37.879466862276615,-70.75123041888061,-88.00901618735884,-83.50078351833446,-32.174896713141216,-95.13752745820878,1.6124706112292893
-25.038053098311625,0.8715574205443555,-35.00000000000003,-3.061197145803827e-15,-60.86109690389749,40.13616652615241,-67.99999999999997,-7.799999999999992,-61.28354182096224,-37.848780181503145,-70.43719435536374,-88.01062470981383,-83.38179084022696,-32.22140152682215,-95.17190923039561,1.5127519185752267
-25.054781125413303,1.0452846243626466,-35.000000000000014,-3.421952945895985e-15,-61.038919058766574,40.16231177373204,-67.99999999999997,-7.799999999999992,-61.147021486909594,-37.81793941014131,-70.12248521420112,-88.01197343749334,-83.26511470750384,-32.269069930969636,-95.20625906636218,1.4119198381795262
-25.07453856252569,1.2186934243584586,-35.000000000000014,-3.1941234858298108e-15,-61.21855600365194,40.188040341186486,-67.99999999999997,-7.799999999999992,-61.01278572143735,-37.78697780073482,-69.80713530403983,-88.0130608286988,-83.1507504698335,-32.31792697071329,-95.24056108745006,1.3099852415360091
-25.097319391342026,1.3917309985314654,-35.000000000000014,-3.8656507151504546e-15,-61.399984555983764,40.21332934209925,-67.99999999999997,-7.799999999999993,-60.880845801888704,-37.75592837092762,-69.49117705580792,-88.01388491974575,-83.03869314662543,-32.36799730229234,-95.27479946298871,1.206959180692357
-25.12311667260118,1.5643446379603194,-35.000000000000014,-4.553174444599398e-15,-61.58318123801073,40.238156035181305,-67.99999999999997,-7.799999999999993,-60.751212784185974,-37.724823892959165,-69.17464305776201,-88.0144433291963,-82.92893744732021,-32.4193051728641,-95.30895841516937,1.1028528953374228
